CMDLINE /usr/bin/python3 main.py
MEM 0.625000 1750778246.9627
MEM 24.691406 1750778247.0630
MEM 33.011719 1750778247.1633
MEM 41.636719 1750778247.2636
MEM 59.011719 1750778247.3639
MEM 71.761719 1750778247.4641
MEM 80.230469 1750778247.5644
MEM 81.730469 1750778247.6648
MEM 81.730469 1750778247.7654
MEM 81.730469 1750778247.8661
MEM 81.730469 1750778247.9668
MEM 81.730469 1750778248.0675
MEM 81.730469 1750778248.1682
MEM 81.730469 1750778248.2689
MEM 81.730469 1750778248.3696
MEM 81.730469 1750778248.4702
MEM 81.730469 1750778248.5708
MEM 81.730469 1750778248.6712
MEM 81.730469 1750778248.7719
MEM 81.730469 1750778248.8726
MEM 81.730469 1750778248.9733
MEM 81.730469 1750778249.0740
MEM 81.730469 1750778249.1747
MEM 81.730469 1750778249.2753
MEM 81.730469 1750778249.3760
MEM 81.730469 1750778249.4767
MEM 81.730469 1750778249.5773
MEM 81.730469 1750778249.6780
MEM 81.730469 1750778249.7787
MEM 81.730469 1750778249.8794
MEM 81.730469 1750778249.9801
MEM 81.730469 1750778250.0808
MEM 81.730469 1750778250.1815
MEM 81.730469 1750778250.2821
MEM 81.730469 1750778250.3828
MEM 81.730469 1750778250.4835
MEM 81.730469 1750778250.5841
MEM 81.730469 1750778250.6848
MEM 81.730469 1750778250.7854
MEM 81.730469 1750778250.8861
MEM 81.730469 1750778250.9868
MEM 81.730469 1750778251.0874
MEM 81.730469 1750778251.1882
MEM 81.730469 1750778251.2889
MEM 81.730469 1750778251.3895
MEM 81.730469 1750778251.4902
MEM 81.730469 1750778251.5910
MEM 81.730469 1750778251.6917
MEM 81.730469 1750778251.7924
MEM 81.730469 1750778251.8930
MEM 81.730469 1750778251.9937
MEM 81.730469 1750778252.0944
MEM 81.730469 1750778252.1950
MEM 81.730469 1750778252.2955
MEM 81.730469 1750778252.3958
MEM 81.730469 1750778252.4961
MEM 81.730469 1750778252.5964
MEM 81.730469 1750778252.6967
MEM 81.730469 1750778252.7971
MEM 81.730469 1750778252.8978
MEM 81.730469 1750778252.9985
MEM 81.730469 1750778253.0991
MEM 81.730469 1750778253.1998
MEM 81.730469 1750778253.3006
MEM 81.730469 1750778253.4013
MEM 81.730469 1750778253.5019
MEM 81.730469 1750778253.6026
MEM 81.730469 1750778253.7031
MEM 81.730469 1750778253.8039
MEM 81.730469 1750778253.9046
MEM 81.730469 1750778254.0052
MEM 81.730469 1750778254.1059
MEM 81.730469 1750778254.2066
MEM 81.730469 1750778254.3073
MEM 81.730469 1750778254.4080
MEM 81.730469 1750778254.5087
MEM 81.730469 1750778254.6093
MEM 81.730469 1750778254.7100
MEM 81.730469 1750778254.8107
MEM 81.730469 1750778254.9114
MEM 81.730469 1750778255.0120
MEM 81.730469 1750778255.1127
MEM 81.730469 1750778255.2133
MEM 81.730469 1750778255.3141
MEM 81.730469 1750778255.4147
MEM 81.730469 1750778255.5154
MEM 81.730469 1750778255.6159
MEM 81.730469 1750778255.7164
MEM 81.730469 1750778255.8171
MEM 81.730469 1750778255.9178
MEM 81.730469 1750778256.0185
MEM 81.730469 1750778256.1192
MEM 81.730469 1750778256.2199
MEM 81.730469 1750778256.3205
MEM 81.730469 1750778256.4211
MEM 81.730469 1750778256.5218
MEM 81.730469 1750778256.6225
MEM 81.730469 1750778256.7232
MEM 81.730469 1750778256.8239
MEM 81.730469 1750778256.9246
MEM 81.730469 1750778257.0252
MEM 81.730469 1750778257.1259
MEM 81.730469 1750778257.2267
MEM 81.730469 1750778257.3274
MEM 81.730469 1750778257.4280
MEM 81.730469 1750778257.5287
MEM 81.730469 1750778257.6294
MEM 81.730469 1750778257.7300
MEM 81.730469 1750778257.8307
MEM 81.730469 1750778257.9314
MEM 81.730469 1750778258.0321
MEM 81.730469 1750778258.1328
MEM 81.730469 1750778258.2334
MEM 81.730469 1750778258.3341
MEM 81.730469 1750778258.4348
MEM 81.730469 1750778258.5354
MEM 81.730469 1750778258.6361
MEM 81.730469 1750778258.7368
MEM 81.730469 1750778258.8375
MEM 81.730469 1750778258.9381
MEM 81.730469 1750778259.0388
MEM 81.730469 1750778259.1395
MEM 81.730469 1750778259.2402
MEM 81.730469 1750778259.3409
MEM 81.730469 1750778259.4415
MEM 81.730469 1750778259.5422
MEM 81.730469 1750778259.6429
MEM 81.730469 1750778259.7437
MEM 81.730469 1750778259.8443
MEM 81.730469 1750778259.9450
MEM 81.730469 1750778260.0457
MEM 81.730469 1750778260.1464
MEM 81.730469 1750778260.2471
MEM 81.730469 1750778260.3478
MEM 81.730469 1750778260.4484
MEM 81.730469 1750778260.5491
MEM 81.730469 1750778260.6498
MEM 81.730469 1750778260.7504
MEM 81.730469 1750778260.8511
MEM 81.730469 1750778260.9518
MEM 81.730469 1750778261.0525
MEM 81.730469 1750778261.1532
MEM 81.730469 1750778261.2538
MEM 81.730469 1750778261.3546
MEM 81.730469 1750778261.4552
MEM 81.730469 1750778261.5559
MEM 81.730469 1750778261.6566
MEM 81.730469 1750778261.7573
MEM 81.730469 1750778261.8580
MEM 81.730469 1750778261.9586
MEM 81.730469 1750778262.0593
MEM 81.730469 1750778262.1600
MEM 81.730469 1750778262.2607
MEM 81.730469 1750778262.3614
MEM 81.730469 1750778262.4621
MEM 81.730469 1750778262.5628
MEM 81.730469 1750778262.6635
MEM 81.730469 1750778262.7641
MEM 81.730469 1750778262.8648
MEM 81.730469 1750778262.9654
MEM 81.730469 1750778263.0661
MEM 81.730469 1750778263.1669
MEM 81.730469 1750778263.2676
MEM 81.730469 1750778263.3683
MEM 81.730469 1750778263.4690
MEM 81.730469 1750778263.5697
MEM 81.730469 1750778263.6703
MEM 81.730469 1750778263.7710
MEM 81.730469 1750778263.8717
MEM 81.730469 1750778263.9724
MEM 81.730469 1750778264.0731
MEM 81.730469 1750778264.1738
MEM 81.730469 1750778264.2745
MEM 81.730469 1750778264.3751
MEM 81.730469 1750778264.4758
MEM 81.730469 1750778264.5765
MEM 81.730469 1750778264.6772
MEM 81.730469 1750778264.7779
MEM 81.730469 1750778264.8785
MEM 81.730469 1750778264.9791
MEM 81.730469 1750778265.0797
MEM 81.730469 1750778265.1803
MEM 81.855469 1750778265.2810
MEM 81.855469 1750778265.3817
MEM 81.855469 1750778265.4824
MEM 81.855469 1750778265.5831
MEM 81.855469 1750778265.6838
MEM 81.855469 1750778265.7845
MEM 81.855469 1750778265.8852
MEM 81.855469 1750778265.9859
MEM 81.855469 1750778266.0866
MEM 81.855469 1750778266.1873
MEM 81.855469 1750778266.2880
MEM 81.855469 1750778266.3886
MEM 81.855469 1750778266.4893
MEM 81.855469 1750778266.5899
MEM 81.855469 1750778266.6906
MEM 81.855469 1750778266.7913
MEM 81.855469 1750778266.8920
MEM 81.855469 1750778266.9926
MEM 81.855469 1750778267.0934
MEM 81.855469 1750778267.1941
MEM 81.855469 1750778267.2948
MEM 81.855469 1750778267.3955
MEM 81.855469 1750778267.4961
MEM 81.855469 1750778267.5968
MEM 81.855469 1750778267.6975
MEM 81.855469 1750778267.7981
MEM 81.855469 1750778267.8988
MEM 81.855469 1750778267.9995
MEM 81.855469 1750778268.1002
MEM 81.855469 1750778268.2009
MEM 81.855469 1750778268.3016
MEM 81.855469 1750778268.4023
MEM 81.855469 1750778268.5029
MEM 81.855469 1750778268.6035
MEM 81.855469 1750778268.7040
MEM 81.855469 1750778268.8047
MEM 81.855469 1750778268.9052
MEM 81.855469 1750778269.0056
MEM 81.855469 1750778269.1062
MEM 81.855469 1750778269.2069
MEM 81.855469 1750778269.3075
MEM 81.855469 1750778269.4081
MEM 81.855469 1750778269.5087
MEM 81.855469 1750778269.6094
MEM 81.855469 1750778269.7100
MEM 81.855469 1750778269.8107
MEM 81.855469 1750778269.9114
MEM 81.855469 1750778270.0120
MEM 81.855469 1750778270.1128
MEM 81.855469 1750778270.2134
MEM 81.855469 1750778270.3141
MEM 81.855469 1750778270.4147
MEM 81.855469 1750778270.5154
MEM 81.855469 1750778270.6160
MEM 81.855469 1750778270.7166
MEM 81.855469 1750778270.8172
MEM 81.855469 1750778270.9179
MEM 81.855469 1750778271.0186
MEM 81.855469 1750778271.1192
MEM 81.855469 1750778271.2200
MEM 81.855469 1750778271.3207
MEM 81.855469 1750778271.4214
MEM 81.855469 1750778271.5221
MEM 81.855469 1750778271.6228
MEM 81.855469 1750778271.7234
MEM 81.855469 1750778271.8240
MEM 81.855469 1750778271.9247
MEM 81.855469 1750778272.0253
MEM 81.855469 1750778272.1260
MEM 81.855469 1750778272.2267
MEM 81.855469 1750778272.3273
MEM 81.855469 1750778272.4280
MEM 81.855469 1750778272.5286
MEM 81.855469 1750778272.6294
MEM 81.855469 1750778272.7301
MEM 81.855469 1750778272.8308
MEM 81.855469 1750778272.9315
MEM 81.855469 1750778273.0323
MEM 81.855469 1750778273.1330
MEM 81.855469 1750778273.2338
MEM 81.855469 1750778273.3344
MEM 81.855469 1750778273.4351
